2026-03-28 22:33:28 | INFO | __main__ | Weather History Backfill: collected 0 records
2026-03-28 22:33:28 | WARNING | __main__ | No weather history records to insert
2026-03-28 22:33:28 | INFO | __main__ | Starting aggregation of hourly history to daily...
2026-03-28 22:33:28 | INFO | __main__ | Aggregated 3402 daily history records
2026-03-28 22:33:28 | INFO | __main__ | Starting aggregation for history data...
2026-03-28 22:33:28 | INFO | __main__ | Aggregated hourly: history - district: 12559, city: 440
2026-03-28 22:33:28 | INFO | __main__ | Aggregated daily: history - district: 1078, city: 36
2026-03-28 22:33:28 | INFO | __main__ | Aggregation completed for history data
2026-03-28 22:33:28 | INFO | __main__ | Starting Nowcast job for 126 wards...
2026-03-28 22:33:29 | INFO | __main__ | Bulk upserted 126 weather hourly records (current)
2026-03-28 22:33:29 | INFO | __main__ | Starting aggregation for current data...
2026-03-28 22:33:30 | INFO | __main__ | Aggregated hourly: current - district: 12589, city: 441
2026-03-28 22:33:30 | INFO | __main__ | Aggregation completed for current data
2026-03-28 22:33:30 | INFO | __main__ | Starting Forecast job for 126 wards...
2026-03-28 22:33:30 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 5s for rate limit window to reset...
2026-03-28 22:33:35 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 5s for rate limit window to reset...
2026-03-28 22:33:40 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 5s for rate limit window to reset...
2026-03-28 22:33:45 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 5s for rate limit window to reset...
2026-03-28 22:33:50 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 5s for rate limit window to reset...
2026-03-28 22:33:55 | INFO | __main__ | Bulk upserted 3600 weather hourly records (forecast)
2026-03-28 22:33:55 | INFO | __main__ | Bulk upserted 600 weather daily records (priority=forecast)
2026-03-28 22:33:55 | INFO | __main__ | Starting aggregation for forecast data...
2026-03-28 22:33:57 | INFO | __main__ | Aggregated hourly: forecast - district: 13053, city: 457
2026-03-28 22:33:57 | INFO | __main__ | Aggregated daily: forecast - district: 1078, city: 36
2026-03-28 22:33:57 | INFO | __main__ | Aggregation completed for forecast data
2026-03-30 08:06:44 | INFO | app.core.key_manager | Loaded 5 API keys into unified pool
2026-03-30 08:06:45 | INFO | __main__ | Starting History Backfill for 126 wards, last 1 days...
2026-03-30 08:06:45 | INFO | __main__ | Starting Weather History Backfill for 126 wards, last 1 days...
2026-03-30 08:07:18 | INFO | __main__ | Weather History Backfill: collected 126 records
2026-03-30 08:07:18 | INFO | __main__ | Bulk upserted 126 weather hourly records (history)
2026-03-30 08:07:18 | INFO | __main__ | Starting aggregation of hourly history to daily...
2026-03-30 08:07:18 | INFO | __main__ | Aggregated 3528 daily history records
2026-03-30 08:07:18 | INFO | __main__ | Starting aggregation for history data...
